transaction_id,customer_id,product_id,purchase_date,season,purchase_amount,discount_applied,discount_percentage,promo_code_used,shipping_type,review_rating,size_purchased,color_purchased
3053,1005,2006,2024-11-20,Fall,160.0,No,0,No,Free Shipping,4.3,XS,Gray
3054,1005,2024,2024-03-18,Spring,134.0,No,0,No,Standard,2.4,L,Pink
3055,1006,2044,2023-02-20,Winter,380.0,No,0,No,Free Shipping,2.3,S,Orange
3056,1006,2044,2023-05-19,Spring,346.0,No,0,No,Free Shipping,3.5,S,Brown
3057,1006,2014,2024-09-22,Fall,99.75,Yes,25,Yes,2-Day Shipping,3.0,XS,White
3058,1006,2043,2024-11-18,Fall,102.0,No,0,No,Standard,3.0,XL,Yellow
3059,1006,2021,2023-01-25,Winter,103.5,Yes,25,Yes,Express,3.9,S,Gray
3060,1006,2043,2024-12-02,Winter,87.3,Yes,10,No,Standard,2.3,XL,Navy
3061,1006,2002,2023-10-22,Fall,12.0,Yes,20,No,Standard,3.4,S,Purple
3062,1007,2011,2024-07-04,Summer,38.4,Yes,20,Yes,Free Shipping,3.6,S,Purple
3063,1007,2041,2024-12-16,Winter,37.0,No,0,No,Free Shipping,4.7,M,Navy
3064,1007,2034,2023-03-03,Spring,77.6,Yes,20,Yes,Free Shipping,2.2,XS,White
3065,1007,2021,2024-02-02,Winter,129.0,No,0,No,Express,4.7,XS,Black
3066,1007,2001,2023-10-27,Fall,71.0,No,0,No,Free Shipping,4.9,XS,Blue
3067,1007,2045,2024-05-11,Spring,73.5,Yes,25,Yes,Free Shipping,3.7,XS,Gray
3068,1007,2019,2024-06-26,Summer,71.4,Yes,15,Yes,Free Shipping,2.1,M,Yellow
3069,1007,2038,2023-11-06,Fall,80.0,No,0,No,Standard,4.9,XS,Yellow
3070,1007,2012,2023-09-21,Fall,44.0,No,0,No,Standard,4.4,XL,Red
3071,1007,2033,2023-08-19,Summer,33.15,Yes,15,Yes,Express,2.3,XL,Yellow
3072,1007,2033,2024-12-03,Winter,49.0,No,0,No,Express,3.7,M,Pink
3073,1008,2044,2023-12-04,Winter,279.65,Yes,15,Yes,Free Shipping,4.2,S,Navy
3074,1008,2026,2023-11-13,Fall,45.9,Yes,15,No,Free Shipping,4.4,S,Blue
3075,1008,2033,2023-03-11,Spring,77.35,Yes,15,No,2-Day Shipping,3.8,XS,Orange
3076,1008,2005,2023-11-23,Fall,87.0,No,0,No,Free Shipping,3.7,M,Navy
3077,1008,2017,2023-07-12,Summer,67.9,Yes,30,Yes,Free Shipping,4.3,XL,Gray
3078,1008,2023,2024-09-02,Fall,75.6,Yes,10,Yes,Express,4.4,XL,Pink
3079,1008,2032,2024-04-25,Spring,173.25,Yes,25,Yes,Standard,3.4,XS,Green
3080,1008,2005,2023-01-16,Winter,69.0,No,0,No,Free Shipping,3.6,S,Orange
3081,1008,2022,2023-07-29,Summer,9.0,Yes,25,No,Express,4.8,M,Beige
3082,1008,2004,2023-09-10,Fall,78.0,Yes,25,Yes,Express,4.5,XL,Pink
3083,1008,2012,2024-07-03,Summer,53.0,No,0,No,Standard,4.5,XS,Beige
3084,1009,2011,2024-04-12,Spring,87.0,No,0,No,Standard,4.8,XL,Green
3085,1009,2041,2023-02-10,Winter,95.4,Yes,10,No,Express,3.5,M,Orange
3086,1009,2033,2023-10-20,Fall,71.1,Yes,10,Yes,2-Day Shipping,4.4,L,Yellow
3087,1009,2001,2024-04-07,Spring,35.0,No,0,No,Free Shipping,3.4,XL,Navy
3088,1009,2035,2024-02-07,Winter,65.25,Yes,25,Yes,Free Shipping,4.3,S,Beige
3089,1009,2031,2023-04-03,Spring,22.1,Yes,15,Yes,Standard,4.5,XS,Purple
3090,1009,2030,2024-04-05,Spring,24.5,Yes,30,No,Standard,4.3,XL,Green
3091,1009,2007,2023-02-14,Winter,30.0,No,0,No,Free Shipping,4.2,S,Navy
3092,1010,2044,2023-05-29,Spring,191.0,No,0,No,Express,3.3,L,Red
3093,1010,2045,2024-10-03,Fall,45.05,Yes,15,Yes,Free Shipping,3.2,XS,Beige
3094,1010,2014,2024-05-24,Spring,147.75,Yes,25,Yes,Free Shipping,3.6,L,Beige
3095,1010,2033,2024-02-24,Winter,64.6,Yes,15,Yes,Standard,4.8,XL,Gray
3096,1010,2002,2023-02-20,Winter,23.4,Yes,10,Yes,Standard,3.5,XL,Pink
3097,1010,2011,2023-11-02,Fall,56.0,No,0,No,Express,3.3,S,Navy
3098,1010,2034,2024-11-19,Fall,97.0,No,0,No,Free Shipping,4.4,XL,Navy
3099,1010,2035,2024-04-11,Spring,130.0,No,0,No,Standard,4.9,M,Blue
3100,1011,2029,2024-01-13,Winter,39.0,No,0,No,2-Day Shipping,4.6,XS,Red
3101,1011,2037,2024-04-27,Spring,83.2,Yes,20,No,Free Shipping,4.1,S,Pink
3102,1011,2034,2023-03-01,Spring,52.0,No,0,No,Free Shipping,5.0,XS,Beige
3103,1011,2007,2024-12-06,Winter,58.0,No,0,No,Standard,5.0,XL,Blue
3104,1011,2040,2023-09-23,Fall,112.0,No,0,No,2-Day Shipping,4.3,XL,Pink
3105,1011,2042,2024-05-23,Spring,233.0,No,0,No,2-Day Shipping,4.1,XL,Gray
3106,1011,2024,2024-12-26,Winter,134.0,No,0,No,Standard,3.2,XS,Purple
3107,1011,2031,2023-08-01,Summer,25.2,Yes,30,Yes,Standard,4.7,S,Purple
3108,1011,2003,2023-10-16,Fall,72.0,No,0,No,Free Shipping,3.8,M,Orange
3109,1011,2040,2023-01-07,Winter,59.0,No,0,No,Free Shipping,3.8,XL,Black
3110,1011,2044,2023-06-29,Summer,149.25,Yes,25,Yes,Free Shipping,4.8,S,Beige
3111,1011,2014,2023-06-09,Summer,187.0,No,0,No,Express,4.2,L,Purple
3112,1011,2044,2023-02-27,Winter,292.8,Yes,20,No,Standard,4.2,XL,Yellow
3113,1011,2040,2023-12-06,Winter,81.0,Yes,10,Yes,Express,3.8,XL,Navy
3114,1012,2036,2024-08-07,Summer,109.6,Yes,20,Yes,Standard,4.5,XS,Red
3115,1012,2016,2024-02-28,Winter,54.0,Yes,25,Yes,Standard,4.7,XL,Red
3116,1012,2002,2023-06-29,Summer,18.7,Yes,15,Yes,Express,4.8,XS,Orange
3117,1012,2012,2024-05-09,Spring,39.0,Yes,25,Yes,Free Shipping,4.5,M,Navy
3118,1012,2013,2023-04-11,Spring,58.0,No,0,No,Free Shipping,3.4,L,Green
3119,1012,2017,2024-12-31,Winter,182.7,Yes,10,Yes,Free Shipping,4.4,XS,Blue
3120,1012,2032,2024-04-23,Spring,50.4,Yes,20,No,Free Shipping,3.2,S,Blue
3121,1012,2018,2023-07-25,Summer,36.75,Yes,25,Yes,Standard,4.4,S,Red
3122,1012,2038,2023-04-28,Spring,51.0,No,0,No,Standard,4.2,XL,Blue
3123,1012,2025,2024-07-16,Summer,20.0,Yes,20,No,Standard,4.2,M,Pink
3124,1012,2022,2023-12-13,Winter,20.25,Yes,25,Yes,Standard,4.8,L,Black
3125,1012,2035,2023-03-30,Spring,62.3,Yes,30,No,Free Shipping,4.3,L,Pink
3126,1012,2041,2023-12-31,Winter,51.8,Yes,30,Yes,2-Day Shipping,3.3,L,Pink
3127,1012,2015,2023-05-15,Spring,14.0,No,0,No,Express,4.9,L,Red
3128,1012,2009,2024-12-01,Winter,84.15,Yes,15,No,Free Shipping,4.7,M,Green
3129,1013,2010,2023-07-07,Summer,200.0,Yes,20,No,Standard,4.0,L,White
3130,1013,2011,2023-12-26,Winter,52.0,Yes,20,Yes,Standard,4.3,XS,Green
3131,1013,2041,2023-04-20,Spring,76.0,No,0,No,Standard,3.3,L,Green
3132,1013,2038,2024-08-27,Summer,86.7,Yes,15,Yes,Express,5.0,M,Gray
3133,1013,2029,2024-12-11,Winter,36.4,Yes,30,No,Free Shipping,4.6,S,Navy
3134,1013,2009,2024-11-09,Fall,49.0,No,0,No,2-Day Shipping,4.5,XS,Pink
3135,1013,2025,2024-09-02,Fall,21.75,Yes,25,Yes,Next Day Air,3.5,XS,Pink
3136,1013,2028,2023-04-22,Spring,58.0,No,0,No,Express,4.6,L,Yellow
3137,1013,2003,2024-11-07,Fall,32.9,Yes,30,No,Free Shipping,4.8,XS,Orange
3138,1013,2032,2023-05-31,Spring,81.2,Yes,30,Yes,Standard,4.2,M,Red
3139,1013,2013,2024-08-06,Summer,75.0,No,0,No,2-Day Shipping,3.7,L,Purple
3140,1013,2001,2023-12-19,Winter,35.0,No,0,No,Free Shipping,4.3,S,Red
3141,1013,2024,2023-03-05,Spring,154.0,No,0,No,Standard,4.9,XL,Blue
3142,1014,2045,2023-04-23,Spring,66.0,No,0,No,Free Shipping,3.6,L,Yellow
3143,1014,2011,2023-11-22,Fall,56.0,Yes,30,Yes,Standard,3.6,S,Gray
3144,1014,2022,2024-07-22,Summer,22.0,No,0,No,Express,3.8,M,Yellow
3145,1014,2001,2023-05-09,Spring,32.3,Yes,15,Yes,Express,4.5,L,Navy
3146,1014,2014,2023-03-28,Spring,105.0,No,0,No,Express,3.9,XL,Green
3147,1014,2026,2024-09-30,Fall,49.5,Yes,25,Yes,Standard,3.9,L,Pink
3148,1014,2039,2023-01-08,Winter,165.9,Yes,30,No,Next Day Air,3.7,XL,Blue
3149,1014,2006,2023-02-04,Winter,69.0,No,0,No,Standard,4.5,L,Purple
3150,1015,2029,2023-03-23,Spring,24.0,No,0,No,2-Day Shipping,3.6,M,Beige
3151,1015,2017,2024-06-13,Summer,90.0,No,0,No,Standard,3.8,XS,Yellow
3152,1015,2014,2024-10-10,Fall,149.0,No,0,No,Free Shipping,4.7,XS,Beige
3153,1015,2008,2024-04-09,Spring,57.0,No,0,No,Standard,3.7,M,Orange
3154,1015,2017,2023-10-29,Fall,100.8,Yes,30,Yes,Free Shipping,4.2,XL,Red
3155,1015,2036,2023-03-04,Spring,140.0,No,0,No,Standard,2.5,M,Orange
3156,1015,2018,2024-10-01,Fall,19.6,Yes,30,Yes,Free Shipping,2.2,M,Navy
3157,1015,2015,2024-09-22,Fall,18.0,Yes,10,Yes,2-Day Shipping,3.8,S,Yellow
3158,1015,2032,2024-04-02,Spring,229.0,No,0,No,2-Day Shipping,2.8,L,Navy
3159,1016,2017,2024-06-24,Summer,66.3,Yes,15,Yes,2-Day Shipping,4.3,L,Orange
3160,1016,2026,2024-02-27,Winter,100.3,Yes,15,Yes,Free Shipping,3.6,M,Black
3161,1016,2024,2024-10-19,Fall,127.0,No,0,No,Standard,3.4,L,Beige
3162,1016,2013,2023-11-05,Fall,55.0,No,0,No,Free Shipping,4.6,L,Yellow
3163,1016,2018,2024-12-23,Winter,55.5,Yes,25,Yes,2-Day Shipping,3.2,L,Green
3164,1016,2025,2024-11-25,Fall,25.0,No,0,No,Standard,4.4,XL,Yellow
3165,1016,2030,2023-12-29,Winter,39.0,No,0,No,Standard,4.4,M,Red
3166,1016,2022,2023-04-11,Spring,18.0,No,0,No,Free Shipping,3.9,S,Purple
3167,1016,2015,2024-11-19,Fall,30.0,No,0,No,Free Shipping,4.1,S,Blue
3168,1016,2028,2024-07-14,Summer,15.0,No,0,No,Standard,4.7,XS,Brown
3169,1016,2004,2023-04-17,Spring,109.6,Yes,20,Yes,Standard,3.7,XL,White
3170,1016,2040,2023-02-28,Winter,121.0,No,0,No,Next Day Air,4.7,XS,Purple
3171,1016,2032,2023-05-03,Spring,84.0,No,0,No,Free Shipping,3.4,XL,Orange
3172,1016,2022,2023-07-09,Summer,13.0,No,0,No,Express,3.7,XS,Yellow
3173,1017,2004,2024-04-09,Spring,85.0,No,0,No,Free Shipping,4.4,M,Red
3174,1017,2032,2023-06-15,Summer,57.75,Yes,25,Yes,Standard,3.8,M,Navy
3175,1017,2030,2024-03-27,Spring,11.2,Yes,30,No,Free Shipping,3.9,XS,Navy
3176,1017,2033,2024-07-07,Summer,106.2,Yes,10,Yes,Free Shipping,4.8,XS,Black
3177,1017,2001,2023-03-16,Spring,34.0,No,0,No,Express,3.7,L,Navy
3178,1017,2045,2024-10-30,Fall,30.0,No,0,No,Standard,4.4,M,Green
3179,1017,2019,2024-08-11,Summer,33.75,Yes,25,No,Express,4.1,XS,Brown
3180,1017,2035,2023-08-20,Summer,26.25,Yes,25,Yes,Free Shipping,3.4,M,Blue
3181,1017,2037,2024-11-29,Fall,132.3,Yes,10,Yes,2-Day Shipping,3.9,M,White
3182,1017,2007,2024-04-15,Spring,38.0,No,0,No,Standard,3.5,L,Yellow
3183,1017,2027,2023-07-15,Summer,203.0,No,0,No,Free Shipping,4.8,M,Beige
3184,1017,2035,2023-03-28,Spring,148.0,No,0,No,Standard,4.5,S,Black
3185,1017,2044,2024-08-30,Summer,155.4,Yes,30,Yes,Express,4.4,L,Black
3186,1017,2029,2023-02-07,Winter,32.4,Yes,10,No,Standard,3.9,XL,Beige
3187,1018,2029,2024-11-25,Fall,44.1,Yes,10,Yes,Standard,3.3,XS,Beige
3188,1018,2044,2024-09-25,Fall,110.7,Yes,10,Yes,Standard,3.5,M,Orange
3189,1018,2045,2023-04-10,Spring,88.0,No,0,No,Standard,4.7,XS,White
3190,1018,2015,2024-05-24,Spring,31.0,No,0,No,2-Day Shipping,3.6,L,Blue
3191,1018,2012,2024-11-25,Fall,31.5,Yes,30,No,Standard,4.2,S,Orange
3192,1018,2035,2023-02-16,Winter,88.0,Yes,20,Yes,Express,3.5,M,Brown
3193,1018,2017,2023-06-18,Summer,154.7,Yes,15,Yes,2-Day Shipping,3.4,XL,Green
3194,1018,2028,2023-06-11,Summer,16.0,No,0,No,Standard,3.3,XS,Purple
3195,1018,2007,2024-10-29,Fall,57.0,No,0,No,2-Day Shipping,3.9,L,Purple
3196,1018,2011,2023-05-10,Spring,36.0,Yes,25,Yes,2-Day Shipping,3.9,XL,Purple
3197,1018,2006,2023-02-08,Winter,106.0,No,0,No,Standard,4.3,M,Blue
3198,1018,2019,2024-03-04,Spring,45.0,No,0,No,Next Day Air,3.5,XS,Pink
3199,1018,2004,2024-01-06,Winter,147.0,No,0,No,Express,4.1,S,Red
3200,1018,2039,2023-02-24,Winter,104.25,Yes,25,Yes,Standard,4.1,XS,Black
3201,1019,2018,2024-10-22,Fall,56.8,Yes,20,Yes,2-Day Shipping,3.9,L,Black
3202,1019,2030,2023-04-17,Spring,15.0,No,0,No,Free Shipping,2.5,L,Brown
3203,1019,2018,2023-04-29,Spring,34.0,No,0,No,Free Shipping,4.2,M,Green
3204,1019,2035,2023-07-23,Summer,130.0,No,0,No,Free Shipping,3.0,M,Gray
3205,1019,2044,2023-04-11,Spring,221.0,No,0,No,Express,4.6,S,White
3206,1020,2018,2024-04-27,Spring,73.95,Yes,15,Yes,Express,4.9,L,Blue
3207,1020,2004,2023-05-20,Spring,108.0,No,0,No,Next Day Air,4.3,S,Blue
3208,1020,2030,2023-05-11,Spring,14.0,No,0,No,Standard,3.3,L,Beige
3209,1020,2022,2024-03-04,Spring,15.0,No,0,No,Standard,3.6,S,Orange
3210,1020,2040,2024-10-15,Fall,123.0,No,0,No,Free Shipping,4.2,S,White
3211,1020,2011,2024-02-26,Winter,75.65,Yes,15,No,2-Day Shipping,4.3,M,Black
3212,1020,2035,2024-03-14,Spring,129.0,No,0,No,Express,3.6,S,Pink
3213,1020,2021,2023-06-02,Summer,45.75,Yes,25,Yes,Free Shipping,4.5,L,Brown
3214,1020,2008,2024-02-08,Winter,55.0,No,0,No,Standard,4.5,L,Gray
3215,1020,2015,2023-03-27,Spring,29.0,No,0,No,Express,4.4,S,Navy
3216,1020,2035,2024-01-03,Winter,64.8,Yes,10,No,Standard,4.1,L,Pink
3217,1020,2025,2024-08-20,Summer,15.0,No,0,No,Standard,4.0,L,Navy
3218,1020,2025,2024-01-15,Winter,31.5,Yes,10,Yes,Free Shipping,3.9,XL,Black
3219,1020,2014,2023-10-31,Fall,179.0,No,0,No,Free Shipping,4.5,XL,Orange
3220,1021,2002,2023-08-01,Summer,20.0,No,0,No,2-Day Shipping,3.0,XL,Yellow
3221,1021,2037,2024-01-08,Winter,58.1,Yes,30,Yes,Express,2.1,XL,Purple
3222,1021,2027,2023-03-10,Spring,337.0,No,0,No,Next Day Air,2.6,S,Brown
3223,1021,2016,2023-04-27,Spring,172.0,No,0,No,2-Day Shipping,4.3,S,Orange
3224,1021,2036,2023-08-19,Summer,101.0,No,0,No,Free Shipping,2.8,M,Black
3225,1021,2011,2023-03-06,Spring,40.6,Yes,30,Yes,Express,4.5,XL,Yellow
3226,1021,2031,2024-06-29,Summer,28.0,No,0,No,Free Shipping,3.1,XS,Gray
3227,1021,2020,2024-04-13,Spring,40.8,Yes,20,No,Standard,4.9,S,Red
3228,1021,2002,2023-04-25,Spring,24.0,No,0,No,Free Shipping,4.6,XS,Red
3229,1022,2040,2024-03-02,Spring,132.0,No,0,No,Standard,2.4,L,Purple
3230,1022,2011,2024-10-22,Fall,30.6,Yes,15,Yes,Free Shipping,4.5,M,Green
3231,1022,2016,2024-08-15,Summer,137.0,No,0,No,Express,4.4,XL,Brown
3232,1022,2015,2024-03-31,Spring,20.8,Yes,20,Yes,Standard,2.5,L,Blue
3233,1022,2029,2023-10-23,Fall,15.3,Yes,15,Yes,Standard,3.9,XL,Red
3234,1022,2019,2023-07-06,Summer,67.0,No,0,No,Free Shipping,4.1,S,Navy
3235,1022,2044,2023-09-01,Fall,135.15,Yes,15,Yes,Express,3.3,S,Brown
3236,1022,2022,2024-12-25,Winter,11.0,No,0,No,Standard,4.9,L,Brown
3237,1022,2034,2023-06-16,Summer,120.75,Yes,25,No,Free Shipping,4.8,L,Blue
3238,1022,2044,2023-06-09,Summer,102.0,No,0,No,Free Shipping,3.6,M,Beige
3239,1023,2016,2023-10-24,Fall,87.0,No,0,No,2-Day Shipping,4.5,M,Purple
3240,1023,2041,2023-04-26,Spring,96.0,No,0,No,Free Shipping,3.5,M,Black
3241,1023,2029,2024-02-16,Winter,54.0,No,0,No,Standard,4.0,XS,Pink
3242,1023,2027,2024-10-18,Fall,149.0,No,0,No,2-Day Shipping,3.6,M,Gray
3243,1023,2029,2023-01-24,Winter,18.0,Yes,10,Yes,Express,5.0,L,Blue
3244,1023,2020,2024-09-09,Fall,93.6,Yes,20,Yes,Free Shipping,3.9,L,Blue
3245,1023,2036,2024-01-31,Winter,85.6,Yes,20,Yes,2-Day Shipping,5.0,XS,Gray
3246,1023,2029,2024-03-30,Spring,41.0,No,0,No,2-Day Shipping,3.7,L,Purple
3247,1023,2038,2024-02-29,Winter,67.0,No,0,No,Standard,4.3,M,Beige
3248,1023,2044,2024-06-21,Summer,203.25,Yes,25,No,Express,3.4,M,Green
3249,1023,2027,2023-06-29,Summer,283.9,Yes,15,Yes,2-Day Shipping,3.6,M,Brown
3250,1024,2023,2024-05-17,Spring,60.0,No,0,No,Free Shipping,3.7,L,Brown
3251,1024,2007,2024-04-19,Spring,27.2,Yes,20,Yes,Free Shipping,3.7,L,White
3252,1024,2003,2024-10-31,Fall,64.6,Yes,15,Yes,Free Shipping,3.3,L,White
3253,1024,2008,2024-09-05,Fall,54.0,Yes,25,Yes,Free Shipping,4.8,L,Purple
3254,1024,2019,2023-05-03,Spring,73.6,Yes,20,Yes,Standard,3.5,M,Beige
3255,1024,2025,2024-12-10,Winter,15.2,Yes,20,Yes,2-Day Shipping,4.0,M,Black
3256,1024,2018,2023-10-24,Fall,43.4,Yes,30,No,Free Shipping,3.5,XS,Pink
3257,1024,2030,2023-06-21,Summer,36.8,Yes,20,Yes,Free Shipping,3.7,M,White
3258,1025,2009,2024-07-01,Summer,85.0,No,0,No,Free Shipping,2.0,M,Orange
3259,1025,2014,2024-05-11,Spring,157.5,Yes,10,No,Free Shipping,2.7,S,Orange
3260,1025,2031,2024-07-26,Summer,43.0,No,0,No,Free Shipping,4.1,XS,Green
3261,1025,2024,2024-04-16,Spring,71.1,Yes,10,Yes,Standard,3.4,M,Navy
3262,1025,2043,2024-03-28,Spring,126.0,No,0,No,Standard,4.9,M,Black
3263,1025,2018,2023-05-02,Spring,45.05,Yes,15,Yes,Standard,2.9,XS,Green
3264,1026,2027,2024-12-08,Winter,440.0,No,0,No,2-Day Shipping,3.3,L,Black
3265,1026,2045,2023-07-21,Summer,30.1,Yes,30,Yes,Standard,3.3,M,Black
3266,1026,2041,2023-03-09,Spring,73.0,No,0,No,Free Shipping,4.6,XL,Gray
3267,1026,2026,2024-08-24,Summer,63.9,Yes,10,Yes,Free Shipping,3.5,M,Pink
3268,1026,2044,2023-12-23,Winter,196.0,Yes,30,Yes,Free Shipping,3.6,XS,Pink
3269,1026,2043,2023-01-15,Winter,93.6,Yes,20,Yes,Free Shipping,3.5,XS,Purple
3270,1026,2044,2023-04-12,Spring,209.0,No,0,No,Express,4.7,XL,Navy
3271,1026,2036,2024-03-26,Spring,146.0,No,0,No,Express,3.5,L,Green
3272,1027,2009,2023-08-08,Summer,84.0,Yes,20,Yes,Standard,3.4,S,Beige
3273,1027,2022,2024-01-05,Winter,28.8,Yes,10,No,Standard,3.8,M,Beige
3274,1027,2026,2024-09-06,Fall,99.0,No,0,No,Standard,4.7,L,Red
3275,1027,2011,2024-03-14,Spring,47.0,No,0,No,2-Day Shipping,4.8,M,Navy
3276,1027,2017,2023-01-14,Winter,195.0,No,0,No,Free Shipping,3.9,XS,White
3277,1027,2044,2023-05-27,Spring,271.8,Yes,10,Yes,2-Day Shipping,4.5,S,White
3278,1027,2031,2024-01-08,Winter,16.5,Yes,25,Yes,2-Day Shipping,3.4,L,Red
3279,1027,2009,2024-12-31,Winter,74.0,No,0,No,2-Day Shipping,4.6,M,Beige
3280,1027,2020,2024-11-13,Fall,117.0,No,0,No,Free Shipping,5.0,S,Orange
3281,1027,2015,2024-04-10,Spring,12.75,Yes,15,Yes,Standard,4.3,XS,Purple
3282,1027,2015,2023-02-24,Winter,32.3,Yes,15,Yes,Free Shipping,3.9,S,Red
3283,1027,2011,2024-09-28,Fall,51.8,Yes,30,Yes,Free Shipping,4.6,S,Red
3284,1027,2034,2024-11-08,Fall,121.6,Yes,20,Yes,Free Shipping,4.7,XS,Orange
3285,1027,2041,2023-02-02,Winter,90.0,No,0,No,Express,3.4,L,Beige
3286,1028,2006,2024-04-15,Spring,55.2,Yes,20,Yes,Standard,4.8,L,Navy
3287,1028,2042,2023-11-16,Fall,198.1,Yes,30,No,Free Shipping,4.4,XL,Pink
3288,1028,2029,2024-04-26,Spring,45.0,No,0,No,Standard,3.5,M,Beige
3289,1028,2044,2024-08-28,Summer,293.0,No,0,No,Next Day Air,3.8,M,Black
3290,1028,2031,2023-01-29,Winter,8.4,Yes,30,Yes,2-Day Shipping,3.2,M,Green
3291,1028,2010,2023-04-10,Spring,151.2,Yes,20,Yes,Express,3.3,S,Yellow
